City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
553,Alto Barinas,VE,8.5931,-70.2261,77.07,88,65,4.92,broken clouds
554,Havre,US,48.55,-109.6841,61.07,82,100,12.66,moderate rain
555,Akureyri,IS,65.6835,-18.0878,55.33,71,66,7.94,broken clouds
556,Mālvan,IN,16.0667,73.4667,83.1,77,64,9.78,broken clouds
557,Castillos,UY,-34.1667,-53.8333,61.93,86,70,7.58,broken clouds
558,Guánica,PR,17.9716,-66.908,85.1,70,100,11.7,overcast clouds
559,Paka,MY,4.6374,103.4368,77.31,88,65,4.23,broken clouds
560,Harper,LR,4.375,-7.7169,77.61,89,100,7.99,light rain
561,Arqalyk,KZ,50.2486,66.9114,71.55,27,5,10.38,clear sky
562,Cobija,BO,-11.0267,-68.7692,78.91,69,88,2.04,overcast clouds
563,Dukhān,QA,25.4297,50.7858,87.1,46,87,15.39,overcast clouds
564,Bunia,CD,1.5667,30.25,64.22,85,30,2.73,scattered clouds
565,Eastham,US,41.8301,-69.9739,72.59,84,0,5.75,clear sky
566,Rasulnagar,PK,32.3285,73.7814,76.08,53,0,3.0,clear sky
567,Mammoth Lakes,US,37.6485,-118.9721,68.72,13,0,10.36,clear sky
568,Homer,US,59.6425,-151.5483,53.49,54,75,5.75,broken clouds
569,Saynshand,MN,44.8824,110.1163,57.54,48,93,6.49,light rain
570,Pangody,RU,65.85,74.4859,54.43,64,12,7.34,few clouds
571,Eyl,SO,7.9803,49.8164,82.85,76,59,18.86,broken clouds
572,Meinerzhagen,DE,51.1167,7.65,52.7,78,5,5.03,clear sky
573,Sena Madureira,BR,-9.0656,-68.6569,76.01,82,86,1.21,overcast clouds
574,Chom Bueng,TH,13.62,99.5917,76.42,82,20,4.5,few clouds
575,Gēdo,ET,9.0167,37.45,51.64,92,80,1.34,broken clouds
576,Srīvardhan,IN,18.0333,73.0167,83.79,74,81,7.36,broken clouds
577,Bodø,NO,67.28,14.405,41.95,96,75,14.97,broken clouds
578,Vega de Alatorre,MX,20.0333,-96.6333,82.18,83,91,5.88,overcast clouds
579,Ulsteinvik,NO,62.3432,5.8487,51.75,90,100,1.99,overcast clouds
580,Bikenibeu Village,KI,1.3673,173.1241,89.56,70,20,8.05,few clouds
581,Aldan,RU,58.6031,125.3894,55.78,56,93,3.29,overcast clouds
582,Néma,MR,16.6162,-7.2535,96.66,14,95,9.01,overcast clouds
583,Taksimo,RU,56.3444,114.8794,57.42,62,71,1.79,broken clouds
584,Kakching,IN,24.4833,93.9833,67.03,80,12,0.81,few clouds
585,Nyurba,RU,63.2842,118.3319,60.01,44,14,6.98,few clouds
586,Pôsto Fiscal Rolim de Moura,BR,-13.0833,-62.2667,78.4,70,52,0.94,broken clouds
587,Arraial do Cabo,BR,-22.9661,-42.0278,70.9,81,2,6.04,clear sky
588,Sydney,CA,46.1351,-60.1831,51.82,90,100,6.91,mist
589,Quellón,CL,-43.1167,-73.6167,50.25,93,100,12.66,light intensity shower rain
